cycle,range_bin,doppler_bin,output_hex
1087945000,9,25,0049fe3b
1087955000,9,26,ffb2022a
1087965000,9,27,ffcffd90
1087975000,9,28,006a00fd
1087985000,9,29,0019000f
1087995000,9,30,004b001b
1088005000,9,31,fdf2ff68
1093085000,10,0,01c4fe02
1093095000,10,1,ff330121
1093105000,10,2,ff7d0033
1093115000,10,3,0090ff1a
1093125000,10,4,feebffa7
1093135000,10,5,01980375
1093145000,10,6,feccfd52
1093155000,10,7,018600d4
1093165000,10,8,fe30ffab
1093175000,10,9,01670050
1093185000,10,10,ff77fe8b
1093195000,10,11,feea0247
1093205000,10,12,024efdfe
1093215000,10,13,fe260076
1093225000,10,14,0229ff97
1093235000,10,15,fea400f8
1093245000,10,16,feccfff6
1093255000,10,17,021bff43
1093265000,10,18,fd0b0193
1093275000,10,19,01b4fd84
1093285000,10,20,007d02ad
1093295000,10,21,0040fe2b
1093305000,10,22,000200dc
1093315000,10,23,fe56feb0
1093325000,10,24,01a00245
1093335000,10,25,ff9ffde0
1093345000,10,26,ff7d013f
1093355000,10,27,ffd6feaf
1093365000,10,28,01d20196
1093375000,10,29,fe3effbe
1093385000,10,30,00a5ffbb
1093395000,10,31,feec00a8
1098475000,11,0,017f0007
1098485000,11,1,00f2021d
1098495000,11,2,fe46fded
1098505000,11,3,016b00e4
1098515000,11,4,fda6004c
1098525000,11,5,03750171
1098535000,11,6,fe77fe94
1098545000,11,7,ff14ff6f
1098555000,11,8,011200ba
1098565000,11,9,ff7800b7
1098575000,11,10,0033fd9f
1098585000,11,11,ff900334
1098595000,11,12,0105fcf9
1098605000,11,13,ff9701b6
1098615000,11,14,fff4ff27
1098625000,11,15,0061fff2
1098635000,11,16,ff9d0139
1098645000,11,17,fe8a0049
1098655000,11,18,019efee9
1098665000,11,19,007bff1a
1098675000,11,20,ff9e028e
1098685000,11,21,ffa7fcbd
1098695000,11,22,ffd302f0
1098705000,11,23,ffd6fdc5
1098715000,11,24,006601d2
1098725000,11,25,0068ff03
1098735000,11,26,ffad001f
1098745000,11,27,ffde004a
1098755000,11,28,0163ff49
1098765000,11,29,fe2100f4
1098775000,11,30,020e0099
1098785000,11,31,fce1fda6
1103865000,12,0,011100ff
1103875000,12,1,ffaafef9
1103885000,12,2,ffcb008c
1103895000,12,3,00880041
1103905000,12,4,fe1e004c
1103915000,12,5,03df005d
1103925000,12,6,fe0cffea
1103935000,12,7,ffcfff7e
1103945000,12,8,feeaffe2
1103955000,12,9,009b0126
1103965000,12,10,0121fbe7
1103975000,12,11,ff7f05fa
1103985000,12,12,ffb2fba6
1103995000,12,13,019e00d7
1104005000,12,14,fe3f01c1
1104015000,12,15,0041fe53
1104025000,12,16,004d00ff
1104035000,12,17,0050ff6f
1104045000,12,18,fe91000a
1104055000,12,19,00a4ffc1
1104065000,12,20,0176ff82
1104075000,12,21,fdc100a9
1104085000,12,22,019e00e2
1104095000,12,23,fe93fe34
1104105000,12,24,01e80178
1104115000,12,25,ff5bffca
1104125000,12,26,ffabff6f
1104135000,12,27,ff050078
1104145000,12,28,013a0034
1104155000,12,29,001aff13
1104165000,12,30,006f00d7
1104175000,12,31,fe35feef
1109255000,13,0,fd7b0008
1109265000,13,1,033bffae
1109275000,13,2,fd51ffa5
1109285000,13,3,01630130
1109295000,13,4,fe2800b4
1109305000,13,5,04c5fd5a
1109315000,13,6,fd000282
1109325000,13,7,ff6dfe01
